"","site","position","depth_cm","month","moisture_avg","moisture_sd","temp_avg","temp_sd","salinity_avg","salinity_sd"
"1","acidic tundra","dry",5,"early summer",26.77,3.55,5.41,2.38,990.14,62.97
"2","acidic tundra","dry",5,"late summer",23.54,2.5,4.67,2.29,964.05,46.92
"3","acidic tundra","dry",5,"mid summer",23.33,4.23,5.07,2.98,985.63,78.84
"4","acidic tundra","dry",15,"early summer",38.76,1.85,1.72,0.89,1372.49,22.7
"5","acidic tundra","dry",15,"late summer",32.7,0.85,2.92,0.76,1321.3,16.06
"6","acidic tundra","dry",15,"mid summer",30.14,3.11,2.69,1.28,1297.06,21.94
"7","acidic tundra","dry",25,"early summer",40.2,0.86,0.83,0.78,1385.25,24.76
"8","acidic tundra","dry",25,"late summer",38.55,0.07,2.63,0.51,1398.21,9.96
"9","acidic tundra","dry",25,"mid summer",37.09,1.82,2.22,0.93,1382.06,21.69
"10","acidic tundra","mesic",5,"early fall",20.79,3.82,2.9,1.87,1100.41,49.56
"11","acidic tundra","mesic",5,"late summer",21.48,2.63,4.76,2,1103.57,29.55
"12","acidic tundra","mesic",5,"mid summer",22.36,6.83,4.77,2.6,1132.63,83.41
"13","acidic tundra","mesic",15,"early fall",36.7,0.49,1.94,0.82,1169.65,1.8
"14","acidic tundra","mesic",15,"late summer",36.48,0.3,2.82,0.68,1167.31,3.04
"15","acidic tundra","mesic",15,"mid summer",25.8,15.27,2.83,1.15,1068.53,139.33
"16","acidic tundra","mesic",25,"early fall",35.02,0.19,1.98,0.63,1214.9,1.82
"17","acidic tundra","mesic",25,"late summer",34.66,0.16,2.6,0.47,1210.15,4.13
"18","acidic tundra","mesic",25,"mid summer",33.96,0.92,2.28,0.83,1193.68,32.4
"19","acidic tundra","hydric",5,"early fall",42.87,5.04,2.22,2.2,1422.29,21.01
"20","acidic tundra","hydric",5,"early summer",34.03,7.02,7.52,3.18,1306.62,70.79
"21","acidic tundra","hydric",5,"late summer",44.08,4.68,4.85,2.53,1431.48,7.1
"22","acidic tundra","hydric",5,"mid summer",37.59,11.17,7.42,4.74,1350.66,85.49
"23","acidic tundra","hydric",15,"early fall",51.67,0.24,1.27,0.91,1352.36,2.01
"24","acidic tundra","hydric",15,"early summer",50.74,1.09,3.33,1.25,1335.33,18.05
"25","acidic tundra","hydric",15,"late summer",51.27,0.26,2.64,1.03,1351.94,3.03
"26","acidic tundra","hydric",15,"mid summer",50.62,0.77,4.16,2.33,1343.23,8.81
"27","acidic tundra","hydric",25,"early fall",46.45,0.11,0.72,0.49,1355,1.99
"28","acidic tundra","hydric",25,"early summer",46.65,0.96,0.98,0.81,1325.13,18.77
"29","acidic tundra","hydric",25,"late summer",46.38,0.14,1.4,0.58,1352.56,3.49
"30","acidic tundra","hydric",25,"mid summer",46.33,0.27,2.15,1.15,1342.23,6.15
"31","non-acidic tundra","dry",5,"early fall",9.3,1.01,5.15,3.07,1187.84,52.45
"32","non-acidic tundra","dry",5,"late summer",9.72,1.16,7.9,3.52,1209.77,65.86
"33","non-acidic tundra","dry",5,"mid summer",10.22,1.44,6.94,4.18,1217.23,76.28
"34","non-acidic tundra","dry",15,"early fall",45.33,1.27,1.25,0.75,1391.65,16.98
"35","non-acidic tundra","dry",15,"late summer",46.66,1.78,2.18,0.73,1408.49,21.57
"36","non-acidic tundra","dry",15,"mid summer",47.99,2.72,1.83,0.96,1400.58,48.19
"37","non-acidic tundra","dry",25,"early fall",48.97,0.13,0.64,0.29,1420.91,3.76
"38","non-acidic tundra","dry",25,"late summer",48.7,0.12,0.95,0.23,1402.21,7.67
"39","non-acidic tundra","dry",25,"mid summer",48.24,1.11,0.67,0.3,1377.59,40.78
"40","non-acidic tundra","mesic",5,"early summer",1.07,0.03,7.98,0.41,260.76,3.89
"41","non-acidic tundra","hydric",5,"early fall",52.39,1.25,4.97,3.06,1484.12,25.4
"42","non-acidic tundra","hydric",5,"late summer",49.74,1.89,9.59,3.4,1531.7,19.71
"43","non-acidic tundra","hydric",5,"mid summer",46.1,6.68,9.72,3.61,1524.24,45.47
"44","non-acidic tundra","hydric",15,"early fall",53.72,0.42,4.73,1.76,1442.43,13
"45","non-acidic tundra","hydric",15,"late summer",52.84,0.38,8.34,1.53,1466.18,8.38
"46","non-acidic tundra","hydric",15,"mid summer",52.74,0.5,8.54,2.04,1455.5,17.46
"47","non-acidic tundra","hydric",25,"early fall",54.35,0.26,4.1,1.12,1459.47,8.54
"48","non-acidic tundra","hydric",25,"late summer",53.81,0.16,6.42,0.66,1473.18,4.25
"49","non-acidic tundra","hydric",25,"mid summer",53.77,0.24,6.5,1.1,1458.08,8.76
