Sample_ID,Core_ID,Date_collected,Area,Site,Plot_num,Plot_ID,Horizon,Depth_1_cm,Depth_2_cm,Depth_3_cm,Depth_4_cm,Average_Depth_cm,Paper_bag_weights_g,bag_wetcoreweight_g,wet_core_weight,dry_weight_of_core_and_bag_g,dry_core_weight_g,soil_bulk_density_g_cm3,grav_moist_perc,grav_water_gh20_per_gdrysoil,
20210706-E-D1_O1,20210706-E-D1,6-Jul-21,East,Dry,1,E-D1,O1,10.5,10.0,10.0,10.5,10.3,6.8,47.2,40.4,16.21,9.41,0.05,76.7,3.29,
20210706-E-D1_O2,20210706-E-D1,6-Jul-21,East,Dry,1,E-D1,O2,5.5,5.0,4.5,5.5,5.1,6.9,34.3,27.4,12.99,6.09,0.06,77.8,3.50,
20210706-E-D2_O,20210706-E-D2,6-Jul-21,East,Dry,2,E-D2,O,5.5,5.5,7.5,5.0,5.9,6.9,30.0,23.1,11.14,4.24,0.04,81.6,4.45,
20210706-E-D2_M,20210706-E-D2,6-Jul-21,East,Dry,2,E-D2,M,13.0,11.0,11.5,12.5,12.0,7.0,203.8,196.8,106.96,99.96,0.42,49.2,0.97,
20210706-E-D3_O,20210706-E-D3,6-Jul-21,East,Dry,3,E-D3,O,8.0,8.0,8.5,9.5,8.5,6.9,69.5,62.6,22.37,15.47,0.09,75.3,3.05,
20210706-E-D3_M,20210706-E-D3,6-Jul-21,East,Dry,3,E-D3,M,11.0,11.0,10.0,10.5,10.6,7.0,209.2,202.2,149.45,142.45,0.68,29.5,0.42,
20210706-E-M1_O1,20210706-E-M1,6-Jul-21,East,Mesic,1,E-M1,O1,13.5,13.0,12.5,13.5,13.1,6.9,70.0,63.1,16.73,9.83,0.04,84.4,5.42,
20210706-E-M1_O2,20210706-E-M1,6-Jul-21,East,Mesic,1,E-M1,O2,7.0,9.5,9.0,8.0,8.4,6.9,40.0,33.1,11.46,4.56,0.03,86.2,6.26,
20210706-E-M2_O,20210706-E-M2,6-Jul-21,East,Mesic,2,E-M2,O,3.5,4.0,5.0,4.5,4.3,6.9,34.0,27.1,13.31,6.41,0.08,76.3,3.23,
20210706-E-M2_M,20210706-E-M2,6-Jul-21,East,Mesic,2,E-M2,M,11.5,13.0,13.5,13.5,12.9,6.9,376.9,370.0,291.91,285.01,1.13,23.0,0.30,
20210706-E-M3_O,20210706-E-M3,6-Jul-21,East,Mesic,3,E-M3,O,7.5,11.0,10.5,10.5,9.9,6.9,88.4,81.5,39.11,32.21,0.17,60.5,1.53,
20210706-E-H1_O1,20210706-E-H1,6-Jul-21,East,Hydric,1,E-H1,O1,12.0,10.0,9.0,9.5,10.1,6.9,126.9,120.0,27.23,20.33,0.10,83.1,4.90,
20210706-E-H1_O2,20210706-E-H1,6-Jul-21,East,Hydric,1,E-H1,O2,4.0,7.0,6.5,7.0,6.1,7.0,63.2,56.2,18.81,11.81,0.10,79.0,3.76,
20210706-E-H2_O1,20210706-E-H2,6-Jul-21,East,Hydric,2,E-H2,O1,11.0,9.0,11.0,11.0,10.5,6.9,56.7,49.8,13.40,6.50,0.03,86.9,6.66,
20210706-E-H2_O2,20210706-E-H2,6-Jul-21,East,Hydric,2,E-H2,O2,8.5,8.5,8.0,8.0,8.3,6.9,132.5,125.6,39.35,32.45,0.20,74.2,2.87,
20210706-E-H3_O1,20210706-E-H3,6-Jul-21,East,Hydric,3,E-H3,O1,,,,,,7.0,51.1,44.1,13.57,6.57,,85.1,5.71,
20210706-E-H3_O2,20210706-E-H3,6-Jul-21,East,Hydric,3,E-H3,O2,11.0,10.0,10.0,11.0,10.5,4.4,140.1,135.7,39.40,35.00,0.17,74.2,2.88,
20210707-W-D1_O,20210707-W-D1,7-Jul-21,West,Dry,1,W-D1,O,18.5,18.0,16.5,17.5,17.6,7.0,154.7,147.7,33.29,26.29,0.08,82.2,4.62,
20210707-W-D2_O,20210707-W-D2,7-Jul-21,West,Dry,2,W-D2,O,11.5,12.0,12.0,9.0,11.1,7.0,145.2,138.2,38.43,31.43,0.14,77.3,3.40,
20210707-W-D3_O1,20210707-W-D3,7-Jul-21,West,Dry,3,W-D3,O1,12.0,10.5,11.0,11.0,11.1,7.0,81.3,74.3,24.77,17.77,0.08,76.1,3.18,
20210707-W-D3_O2,20210707-W-D3,7-Jul-21,West,Dry,3,W-D3,O2,5.0,5.5,5.5,5.5,5.4,7.0,97.3,90.3,31.31,24.31,0.23,73.1,2.71,
20210707-W-M1_O,20210707-W-M1,7-Jul-21,West,Mesic,1,W-M1,O,10.5,11.0,11.0,10.5,10.8,6.9,120.0,113.1,26.71,19.81,0.09,82.5,4.71,
20210707-W-M2_O1,20210707-W-M2,7-Jul-21,West,Mesic,2,W-M2,O1,6.5,6.5,7.0,6.5,6.6,6.8,63.9,57.1,15.83,9.03,0.07,84.2,5.32,
20210707-W-M2_O2,20210707-W-M2,7-Jul-21,West,Mesic,2,W-M2,O2,6.0,7.0,6.0,6.0,6.3,6.9,93.6,86.7,24.67,17.77,0.14,79.5,3.88,
20210707-W-M3_O1,20210707-W-M3,7-Jul-21,West,Mesic,3,W-M3,O1,7.0,7.5,6.0,5.0,6.4,6.9,64.5,57.6,14.90,8.00,0.06,86.1,6.20,
20210707-W-M3_O2,20210707-W-M3,7-Jul-21,West,Mesic,3,W-M3,O2,9.0,9.0,10.0,8.0,9.0,6.8,139.3,132.5,34.39,27.59,0.16,79.2,3.80,
20210707-W-H1_O1,20210707-W-H1,7-Jul-21,West,Hydric,1,W-H1,O1,8.0,8.5,9.0,9.0,8.6,7.0,149.7,142.7,29.96,22.96,0.14,83.9,5.22,
20210707-W-H1_O2,20210707-W-H1,7-Jul-21,West,Hydric,1,W-H1,O2,9.5,7.5,9.0,9.5,8.9,7.0,141.0,134.0,27.46,20.46,0.12,84.7,5.55,
